,age,height,weight,B,W,H,type
新垣雛菜,17,155,47,79,55,80,GF
弓削楓,18,164,43,78,53,80,GF
見吉奈央,17,170,45,83,53,85,GF
綾小路美麗,16,152,43,73,53,80,GF
鴫野睦,16,150,43,71,53,73,GF
椎名心実,17,160,48,83,58,85,GF
ミス・モノクローム,17,155,46,78,57,80,GF
遠山未涼,17,160,45,70,56,70,GF
三嶋ゆらら,18,154,45,77,58,78,GF
神楽坂砂夜,18,164,44,88,55,88,GF
江藤くるみ,16,155,48,78,60,80,GF
玉井麗巳,18,163,48,76,56,78,GF
山田はな,17,151,43,68,60,70,GF
村上文緒,18,160,45,86,56,86,GF
前田彩賀,17,159,49,76,58,78,GF
九重忍,18,164,48,87,58,80,GF
音羽ユリ,16,154,46,73,58,75,GF
川淵一美,17,158,46,73,59,74,GF
小泉由佳,16,163,45,80,55,82,GF
岸田稚慧,17,154,44,71,62,73,GF
甘利燈,16,153,43,72,54,74,GF
加賀美茉莉,17,153,44,73,53,78,GF
霧生典子,17,171,49,74,58,78,GF
望月エレナ,18,165,48,88,55,88,GF
赤瀬川摩姫,17,160,45,77,56,79,GF
小日向いちご ,16,146,45,83,57,82,GF
栢嶋乙女,18,166,44,68,54,71,GF
クロエ・ルメール,18,167,49,86,60,88,GF
南條クミコ,17,162,48,78,62,81,GF
戸村美知留,17,162,48,85,58,87,GF
緒川唯,18,164,48,92,60,85,GF
時谷小瑠璃,18,148,43,73,57,78,GF
夏目真尋,17,153,44,79,57,77,GF
夢前春瑚,16,150,43,76,54,79,GF
掛井園美,17,156,47,82,60,83,GF
螺子川来夢,17,155,48,78,60,81,GF
笹原野々花,18,164,47,90,58,89,GF
正岡真衣,18,149,38,69,53,70,GF
林田たまき,18,160,49,78,58,75,GF
伊勢崎郁歩,17,157,48,75,55,80,GF
一色愛瑠,18,157,49,85,65,87,GF
月白陽子,22,161,49,86,57,88,GF
柊真琴,16,148,42,85,63,83,GF
橘響子,22,148,45,83,60,80,GF
山野こだま,16,146,48,80,63,82,GF
古谷朱里,17,163,48,75,59,85,GF
千代浦あやめ,18,161,44,71,55,68,GF
小野寺千鶴,18,164,49,82,60,83,GF
森園芽以,16,157,46,78,55,78,GF
重藤秋穂,18,169,48,78,57,82,GF
三科果歩,16,155,45,74,58,80,GF
皆口英里,17,166,52,78,63,80,GF
八束由紀恵,17,161,45,70,56,73,GF
成瀬まなみ,16,153,43,72,54,73,GF
葉月柚子,16,153,44,79,56,80,GF
上条るい,17,158,44,70,53,73,GF
宮内希,16,153,45,77,58,79,GF
南田七星,17,157,47,78,58,80,GF
日野奏恵,18,163,45,82,56,80,GF
櫻井明音,17,160,48,85,58,87,GF
君嶋里琉,16,160,46,68,55,67,GF
石田いすき,17,146,45,69,55,74,GF
浅見景,18,173,51,89,63,89,GF
小倉愛,16,156,46,78,58,80,GF
島田泉,16,154,43,77,53,78,GF
川上瀬莉,17,163,48,80,62,81,GF
天都かなた,18,162,49,85,54,80,GF
伊勢谷里都,18,165,53,76,60,78,GF
黒川凪子,17,158,48,79,56,81,GF
五代律,18,170,48,68,55,68,GF
姫島木乃子,17,145,42,69,53,70,GF
鍋島ちより,18,159,46,81,62,83,GF
湯川基世,17,148,44,72,54,75,GF
押井知,17,153,44,75,57,79,GF
雪風真弥,17,173,49,68,64,69,GF
相楽エミ,17,152,45,83,56,84,GF
春宮つぐみ,17,165,46,80,57,78,GF
久保田友季,20,160,48,79,61,82,GF
李春燕,17,160,48,82,58,85,GF
東野梓,17,158,50,76,63,77,GF
佐伯鞠香,17,155,46,79,56,82,GF
円城寺小菊,16,147,38,68,53,70,GF
羽鳥晶,17,166,51,78,60,80,GF
荒井薫,20,165,51,81,60,83,GF
神崎ミコト,22,168,53,91,58,88,GF
新田萌果,16,145,45,85,56,85,GF
朝比奈桃子,16,145,44,75,58,78,GF
高崎瑠依,17,163,48,82,58,85,GF
畑山政子,20,163,49,86,55,85,GF
不知火五十鈴,17,146,43,78,55,81,GF
風町陽歌,17,156,46,80,56,83,GF
東雲レイ,17,153,46,70,55,73,GF
水野楓夏,20,163,47,83,62,82,GF
ユーリヤ・ヴャルコワ,16,157,43,73,60,75,GF
優木苗,16,143,42,68,53,70,GF
白瀬つづり,17,154,44,72,55,74,GF
白鳥詩織,17,156,45,76,54,80,GF
林田希羅,16,165,48,83,58,85,GF
早見英子,17,165,53,70,61,73,GF
熊田一葉,17,162,48,78,62,78,GF
有栖川小枝子,18,157,45,80,55,78,GF
岩本樹,17,164,49,73,57,76,GF
長谷川美卯,16,153,42,70,63,72,GF
皆藤蜜子,18,168,53,100,58,85,GF
竜ヶ崎珠里椏,16,172,50,85,60,83,GF
桐山優月,17,155,46,78,55,80,GF
芙来田伊吹,16,154,43,77,58,75,GF
飛原鋭子,18,165,49,77,60,79,GF
吉川繭子,17,163,50,85,58,86,GF
西野彩音,16,148,39,69,54,71,GF
大山真由里,16,155,46,77,58,77,GF
鈴河凜乃,17,157,42,73,57,72,GF
東條希,17,156,43,90,60,82,LoveLive
絢瀬絵里,17,162,47,88,60,84,LoveLive
小泉花陽,15,156,44,82,60,83,LoveLive
南ことり,16,159,42,80,58,80,LoveLive
西木野真姫,15,161,43,78,56,83,LoveLive
高坂穂乃果,16,157,45,78,58,82,LoveLive
園田海未,16,159,48,76,58,80,LoveLive
星空凛,15,155,43,75,59,80,LoveLive
矢澤にこ,17,154,41,74,57,79,LoveLive
島田真夢,15,159,46,75,57,83,WUG
林田藍里,15,155,45,77,58,85,WUG
片山実波,14,150,40,72,57,84,WUG
七瀬佳乃,16,159,44,70,58,82,WUG
久海菜々美,13,148,39,74,50,79,WUG
菊間夏夜,18,164,50,85,59,83,WUG
岡本未夕,17,162,48,80,60,86,WUG
岩崎志保,17,163,45,82,55,81,WUG
近藤麻衣,20,168,48,85,58,88,WUG
吉川愛,16,155,40,74,56,80,WUG
相沢菜野花,19,160,42,80,58,84,WUG
鈴木萌歌,13,146,35,69,55,75,WUG
鈴木玲奈,20,162,44,78,52,85,WUG
小早川ティナ,18,165,49,88,60,86,WUG
高海千歌,16,157,45,82,59,83,aqours
桜内梨子,16,160,45,80,58,82,aqours
松浦果南,17,162,46,83,58,84,aqours
黒澤ダイヤ,17,162,45,80,57,80,aqours
渡辺曜,16,157,44,82,57,81,aqours
津島善子,15,156,44,79,58,80,aqours
国木田花丸,15,152,43,83,57,83,aqours
小原鞠莉,17,163,47,87,60,84,aqours
黒澤ルビィ,15,154,42,76,56,79,aqours
ココア,15,154,43,79,56,80,gochiusa
リゼ,16,160,45,79,57,79,gochiusa
シャロ,15,151,41,79,56,80,gochiusa
メグ,13,145,38,73,53,76,gochiusa
チノ,13,144,37,72,53,75,gochiusa
チヤ,15,157,44,82,56,82,gochiusa
マヤ,13,140,35,72,53,75,gochiusa
青山ブルーマウンテン,25,163,46,84,58,85,gochiusa
天海春香,17,158,46,83,56,82,imas
高槻やよい,14,145,37,74,54,78,imas
菊地真,17,159,44,75,57,78,imas
我那覇響,16,152,41,83,56,80,imas
島村卯月,17,159,45,83,59,87,imas
中野有香,18,149,40,77,57,81,imas
水本ゆかり,15,155,42,81,56,82,imas
福山舞,10,132,28,64,56,70,imas
椎名法子,13,147,38,76,55,79,imas
今井加奈,16,153,41,81,56,79,imas
持田亜里沙,21,156,45,77,54,76,imas
三村かな子,17,153,52,90,65,89,imas
奥山沙織,19,156,47,83,57,81,imas
間中美里,20,160,46,84,57,85,imas
小日向美穂,17,155,42,82,59,86,imas
緒方智絵里,16,153,42,79,57,80,imas
五十嵐響子,15,154,43,81,58,80,imas
柳瀬美由紀,14,144,33,75,54,77,imas
櫻井桃華,12,145,39,72,53,75,imas
江上椿,19,161,46,80,57,80,imas
長富蓮実,16,161,45,83,56,85,imas
関裕美,14,155,43,78,55,80,imas
横山千佳,9,127,31,60,55,65,imas
太田優,21,159,45,89,57,87,imas
前川みく,15,152,45,85,55,81,imas
赤西瑛梨華,16,154,55,92,59,88,imas
松原早耶,18,156,43,83,58,86,imas
相原雪乃,22,160,51,92,58,90,imas
宮本フレデリカ,19,164,46,83,57,85,imas
小早川紗枝,15,148,42,78,56,80,imas
西園寺琴歌,17,156,46,87,57,85,imas
双葉杏,17,139,30,72,52,76,imas
楊菲菲,15,152,41,82,58,84,imas
桃井あずき,15,145,40,80,55,78,imas
涼宮星花,19,158,45,82,57,83,imas
月宮雅,18,153,44,86,56,82,imas
